geoid,public schools,private schools,child care facilities,population,median income,assistance rate,offender density,bachelor %
1400000US29001950100,2,0,0,3538,54748.00,0.1145311,0.00056529,0.1290323
1400000US29001950200,2,0,1,3209,17609.00,0.1299020,0.00311624,0.1143806
1400000US29001950300,0,1,0,3138,43947.00,0.1260163,0.00350542,0.1657356
1400000US29001950400,2,0,1,4071,33725.00,0.0950725,0.00245640,0.1659813
1400000US29001950500,2,1,4,6522,25651.00,0.1300755,0.00521313,0.1221881
1400000US29003010100,1,0,0,5772,24485.00,0.0272643,0.00207900,0.1575064
1400000US29003010200,3,0,4,6692,26201.00,0.0797292,0.00059773,0.1540194
1400000US29003010300,0,0,1,1879,39112.00,0.1460993,0.00159659,0.0483619
1400000US29003010400,4,0,1,2663,42881.00,0.0380091,0.00112655,0.1299316
1400000US29005950100,1,0,1,3290,82500.00,0.1218978,0.00243161,0.1556886
1400000US29005950200,2,0,2,2521,50727.00,0.0969203,0.00158667,0.1709309
1400000US29007950100,4,0,0,4206,15833.00,0.1703407,0.00213980,0.0462236
1400000US29007950200,2,1,1,5083,91250.00,0.0759432,0.00373795,0.0562500
1400000US29007950300,0,0,0,3917,46541.00,0.0457053,0.00127649,0.1634531
1400000US29007950400,1,1,0,2703,41116.00,0.0931507,0.00369959,0.1358234
1400000US29007950500,3,0,2,3153,113458.00,0.0828446,0.00444022,0.0897959
1400000US29007950600,1,0,0,2935,21216.00,0.1019576,0.00272572,0.1403141
1400000US29007950700,2,1,2,3687,30089.00,0.2124756,0.00542446,0.0846906
1400000US29009960100,0,0,0,6163,42054.00,0.0825019,0.00000000,0.0731596
1400000US29009960200,3,0,0,7123,26292.00,0.1860373,0.00028078,0.0543309
1400000US29009960300,4,1,3,6601,33720.00,0.1545950,0.00302984,0.1276844
1400000US29009960401,3,0,1,3739,39196.00,0.2088136,0.00000000,0.0650338
1400000US29009960402,0,0,0,3266,51818.00,0.2153846,0.00061237,0.0420712
1400000US29009960500,4,0,2,5727,57572.00,0.0960899,0.00157150,0.1054875
1400000US29009960600,0,0,0,3134,64421.00,0.1027496,0.00000000,0.1291716
1400000US29011960100,2,0,1,3142,30921.00,0.1030253,0.00222788,0.0646695
1400000US29011960200,3,0,1,4158,28902.00,0.1424129,0.00216450,0.0831871
1400000US29011960300,4,0,2,5334,38148.00,0.1528100,0.00337458,0.0856638
1400000US29013070100,2,0,3,5219,28886.00,0.1331988,0.00076643,0.0799209
1400000US29013070200,1,0,0,4506,75197.00,0.1083895,0.00044385,0.1058863
